kcat_GALabc,P703
E_GALabc,P704
Km_GALabc_adp_c,P705
Km_GALabc_atp_c,P706
Km_GALabc_h2o_c,P707
Km_GALabc_h_c,P708
Km_GALabc_pi_c,P709
Km_GALabc_gal_e,P710
Km_GALabc_gal_c,P711
Keq_GALabc,P712
kcat_UGLT,P713
E_UGLT,P714
Km_UGLT_gal1p_c,P715
Km_UGLT_g1p_c,P716
Keq_UGLT,P717
kcat_PGMT,P718
E_PGMT,P719
Km_PGMT_g6p_c,P720
Km_PGMT_g1p_c,P721
Keq_PGMT,P722
kcat_GALKr,P723
E_GALKr,P724
Km_GALKr_adp_c,P725
Km_GALKr_atp_c,P726
Km_GALKr_h_c,P727
Km_GALKr_gal_c,P728
Km_GALKr_gal1p_c,P729
Keq_GALKr,P730
kcat_FRUpts,P731
E_FRUpts,P732
Km_FRUpts_fru_e,P733
Km_FRUpts_pep_c,P734
Km_FRUpts_pyr_c,P735
Km_FRUpts_f1p_c,P736
Keq_FRUpts,P737
kcat_FRUK,P738
E_FRUK,P739
Km_FRUK_adp_c,P740
Km_FRUK_atp_c,P741
Km_FRUK_fdp_c,P742
Km_FRUK_h_c,P743
Km_FRUK_f1p_c,P744
Keq_FRUK,P745
kcat_EDD,P746
E_EDD,P747
Km_EDD_6pgc_c,P748
Km_EDD_h2o_c,P749
Km_EDD_2ddg6p_c,P750
Keq_EDD,P751
kcat_EDA,P752
E_EDA,P753
Km_EDA_g3p_c,P754
Km_EDA_pyr_c,P755
Km_EDA_2ddg6p_c,P756
Keq_EDA,P757
kcat_ACS,P758
E_ACS,P759
Km_ACS_ac_c,P760
Km_ACS_accoa_c,P761
Km_ACS_amp_c,P762
Km_ACS_atp_c,P763
Km_ACS_coa_c,P764
Km_ACS_ppi_c,P765
Keq_ACS,P766
kcat_MOX,P767
E_MOX,P768
Km_MOX_mal__L_c,P769
Km_MOX_o2_c,P770
Km_MOX_oaa_c,P771
Km_MOX_h2o2_c,P772
Keq_MOX,P773
ACALD,R0
ACALDt,R1
ACKr,R2
ACONTa,R3
ACONTb,R4
ACt2r,R5
ADK1,R6
AKGDH,R7
AKGt2r,R8
ALCD2x,R9
ATPM,R10
ATPS4r,R11
Biomass_Ecoli_core_w_GAM,R12
CO2t,R13
CS,R14
CYTBD,R15
D_LACt2,R16
ENO,R17
ETOHt2r,R18
FBA,R19
FBP,R20
FORt2,R21
FORti,R22
FRD7,R23
FUM,R24
FUMt2_2,R25
G6PDH2r,R26
GAPD,R27
GLCpts,R28
GLNS,R29
GLNabc,R30
GLUDy,R31
GLUN,R32
GLUSy,R33
GLUt2r,R34
GND,R35
H2Ot,R36
ICDHyr,R37
ICL,R38
LDH_D,R39
MALS,R40
MALt2_2,R41
MDH,R42
ME1,R43
ME2,R44
NADH16,R45
NADTRHD,R46
NH4t,R47
O2t,R48
PDH,R49
PFK,R50
PFL,R51
PGI,R52
PGK,R53
PGL,R54
PGM,R55
PIt2r,R56
PPC,R57
PPCK,R58
PPS,R59
PTAr,R60
PYK,R61
PYRt2r,R62
RPE,R63
RPI,R64
SUCCt2_2,R65
SUCCt3,R66
SUCDi,R67
SUCOAS,R68
TALA,R69
THD2,R70
TKT1,R71
TKT2,R72
TPI,R73
GLCNt2r,R74
GNK,R75
GLYCt,R76
GLYCDx,R77
DHAPT,R78
G3PD2,R79
G3PT,R80
GLYK,R81
GALabc,R82
UGLT,R83
PGMT,R84
GALKr,R85
FRUpts,R86
FRUK,R87
EDD,R88
EDA,R89
ACS,R90
MOX,R91
S0,13dpg_c
S1,2pg_c
S2,3pg_c
S3,6pgc_c
S4,6pgl_c
S5,ac_c
S6,ac_e
S7,acald_c
S8,acald_e
S9,accoa_c
S10,acon_C_c
S11,actp_c
S12,adp_c
S13,akg_c
S14,akg_e
S15,amp_c
S16,atp_c
S17,cit_c
S18,co2_c
S19,co2_e
S20,coa_c
S21,dhap_c
S22,e4p_c
S23,etoh_c
S24,etoh_e
S25,f6p_c
S26,fdp_c
S27,for_c
S28,for_e
S29,fru_e
S30,fum_c
S31,fum_e
S32,g3p_c
S33,g6p_c
S34,glc__D_e
S35,gln__L_c
S36,gln__L_e
S37,glu__L_c
S38,glu__L_e
S39,glx_c
S40,h2o_c
S41,h2o_e
S42,h_c
S43,h_e
S44,icit_c
S45,lac__D_c
S46,lac__D_e
S47,mal__L_c
S48,mal__L_e
S49,nad_c
S50,nadh_c
S51,nadp_c
S52,nadph_c
S53,nh4_c
S54,nh4_e
S55,o2_c
S56,o2_e
S57,oaa_c
S58,pep_c
S59,pi_c
S60,pi_e
S61,pyr_c
S62,pyr_e
S63,q8_c
S64,q8h2_c
S65,r5p_c
S66,ru5p__D_c
S67,s7p_c
S68,succ_c
S69,succ_e
S70,succoa_c
S71,xu5p__D_c
S72,glcn_e
S73,glcn_c
S74,glyc_e
